AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2020-05-31,2020-05-17,PE,0,2,0
2020-05-31,2020-05-18,AQ,0,413,1
2020-05-31,2020-05-18,PE,0,53,1
2020-05-31,2020-05-19,CH,0,173,3
2020-05-31,2020-05-19,PE,0,45,0
2020-05-31,2020-05-20,PE,0,33,1
2020-05-31,2020-05-20,TE,0,376,0
2020-05-31,2020-05-21,AQ,0,395,1
2020-05-31,2020-05-21,PE,0,38,0
2020-05-31,2020-05-22,PE,0,73,0
2020-05-31,2020-05-23,AQ,0,115,0
2020-05-31,2020-05-23,PE,0,93,0
2020-05-31,2020-05-23,TE,0,142,0
2020-05-31,2020-05-24,AQ,0,27,0
2020-05-31,2020-05-24,CH,0,125,0
2020-05-31,2020-05-24,PE,0,22,0
2020-05-31,2020-05-24,TE,0,30,0
2020-05-31,2020-05-25,AQ,0,277,0
2020-05-31,2020-05-26,AQ,0,142,0
2020-05-31,2020-05-26,PE,0,65,0
2020-05-31,2020-05-27,AQ,0,643,3
2020-05-31,2020-05-27,PE,0,58,0
2020-05-31,2020-05-28,AQ,0,181,0
2020-05-31,2020-05-28,PE,0,52,0
2020-05-31,2020-05-28,TE,0,305,1
2020-05-31,2020-05-29,AQ,0,320,1
2020-05-31,2020-05-29,CH,0,52,0
2020-05-31,2020-05-29,PE,0,36,0
2020-05-31,2020-05-29,TE,0,203,1
2020-05-31,2020-05-30,AQ,0,116,0
2020-05-31,2020-05-30,CH,0,5,0
2020-05-31,2020-05-30,PE,0,4,0
2020-05-31,2020-05-30,TE,0,76,0
2020-05-31,2020-03-29,PE,0,0,1
2020-05-31,2020-05-31,CH,0,0,1
