ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
AQ,2021-01-13,0,754,754,2021-02-14
AQ,2021-01-14,0,701,701,2021-02-14
AQ,2021-01-15,0,373,373,2021-02-14
AQ,2021-01-16,0,280,280,2021-02-14
AQ,2021-01-17,0,32,32,2021-02-14
AQ,2021-01-18,0,547,547,2021-02-14
AQ,2021-01-19,0,598,598,2021-02-14
AQ,2021-01-20,0,473,473,2021-02-14
AQ,2021-01-21,0,633,633,2021-02-14
AQ,2021-01-22,0,592,592,2021-02-14
AQ,2021-01-23,0,300,300,2021-02-14
AQ,2021-01-24,0,46,46,2021-02-14
AQ,2021-01-25,0,552,552,2021-02-14
AQ,2021-01-26,0,605,605,2021-02-14
AQ,2021-01-27,0,446,446,2021-02-14
AQ,2021-01-28,0,402,402,2021-02-14
AQ,2021-01-29,0,584,584,2021-02-14
AQ,2021-01-30,0,309,309,2021-02-14
AQ,2021-01-31,0,30,30,2021-02-14
AQ,2021-02-01,0,664,664,2021-02-14
AQ,2021-02-02,0,509,509,2021-02-14
AQ,2021-02-03,0,491,491,2021-02-14
AQ,2021-02-04,0,371,371,2021-02-14
AQ,2021-02-05,0,441,441,2021-02-14
AQ,2021-02-06,0,337,337,2021-02-14
AQ,2021-02-08,0,814,814,2021-02-14
AQ,2021-02-11,0,715,715,2021-02-14
CH,2020-03-23,0,34,34,2021-02-14
CH,2020-03-24,0,80,80,2021-02-14
CH,2020-03-25,0,41,41,2021-02-14
CH,2020-03-26,0,15,15,2021-02-14
CH,2020-03-27,0,13,13,2021-02-14
CH,2020-04-02,0,46,46,2021-02-14
CH,2020-04-06,0,3,3,2021-02-14
CH,2020-04-07,0,94,94,2021-02-14
CH,2020-04-08,0,80,80,2021-02-14
CH,2020-04-09,0,11,11,2021-02-14
CH,2020-04-11,0,2,2,2021-02-14
CH,2020-04-14,0,3,3,2021-02-14
CH,2020-04-15,0,4,4,2021-02-14
CH,2020-04-17,0,35,35,2021-02-14
CH,2020-04-18,0,278,278,2021-02-14
CH,2020-04-19,0,384,384,2021-02-14
CH,2020-04-20,0,136,136,2021-02-14
CH,2020-04-21,0,221,221,2021-02-14
CH,2020-04-22,0,608,608,2021-02-14
CH,2020-04-23,0,476,476,2021-02-14
CH,2020-04-24,0,445,445,2021-02-14
CH,2020-04-25,0,119,119,2021-02-14
CH,2020-04-26,0,231,231,2021-02-14
CH,2020-04-27,0,222,222,2021-02-14
CH,2020-04-28,0,143,143,2021-02-14
CH,2020-04-29,0,102,102,2021-02-14
CH,2020-04-30,0,213,213,2021-02-14
CH,2020-05-01,0,169,169,2021-02-14
CH,2020-05-02,0,227,227,2021-02-14
CH,2020-05-03,0,179,179,2021-02-14
CH,2020-05-04,0,108,108,2021-02-14
CH,2020-05-05,0,197,197,2021-02-14
CH,2020-05-06,0,114,114,2021-02-14
CH,2020-05-07,0,167,167,2021-02-14
CH,2020-05-08,0,217,217,2021-02-14
CH,2020-05-09,0,23,23,2021-02-14
CH,2020-05-10,0,89,89,2021-02-14
CH,2020-05-11,0,279,279,2021-02-14
CH,2020-05-13,0,203,203,2021-02-14
CH,2020-05-14,0,117,117,2021-02-14
CH,2020-05-15,0,120,120,2021-02-14
CH,2020-05-16,0,330,330,2021-02-14
CH,2020-05-17,0,125,125,2021-02-14
